Partlist

Exported from Carte-mere-dashboard v43.sch at 24/06/2026 21:56

EAGLE Version 9.7.0 Copyright (c) 1988-2026 Autodesk, Inc.

Assembly variant: 

Part     Value                        Device                             Package                     Library             Sheet
R32      49.9                         R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R33      105k                         R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R34      100k                         R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R35      13.3k                        R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R36      10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R37      10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R38      10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R39      10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R40      10k                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R41      22                           R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R42      22                           R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R43      5.1                          R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R44      2.2k                         R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R45      2.2k                         R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
R46      10                           R_CHIP-0805(2012-METRIC)           R0805                       MAXxx               1
RT1      NTCNTC0603                   NTCNTC0603                         R0603                       MAXxx               1
S1       B3U-1000P(M)                 B3U-X000B3U-1000P(M)1000P(M)       B3U-1000P(M)                Switch              1
S2       B3U-1000P(M)                 B3U-X000B3U-1000P(M)1000P(M)       B3U-1000P(M)                Switch              1
S3       B3U-1000P(M)                 B3U-X000B3U-1000P(M)1000P(M)       B3U-1000P(M)                Switch              1
S4       B3U-1000P(M)                 B3U-X000B3U-1000P(M)1000P(M)       B3U-1000P(M)                Switch              1
S5       B3U-1000P(M)                 TACTILE_SWITCHB3U-1000P(M)1000P(M) TS-1088-AR02016             MAXxx               1
S6       B3U-1000P(M)                 TACTILE_SWITCHB3U-1000P(M)1000P(M) TS-1088-AR02016             MAXxx               1
S7       B3U-1000P(M)                 TACTILE_SWITCHB3U-1000P(M)1000P(M) TS-1088-AR02016             MAXxx               1
TP1      TEST-POINT3X4                TEST-POINT3X4                      PAD.03X.04                  SparkFun-Connectors 1
TP2      TEST-POINT3X4                TEST-POINT3X4                      PAD.03X.04                  SparkFun-Connectors 1
TP3      TEST-POINT3X4                TEST-POINT3X4                      PAD.03X.04                  SparkFun-Connectors 1
TP4      TEST-POINT3X4                TEST-POINT3X4                      PAD.03X.04                  SparkFun-Connectors 1
TP5      TEST-POINT3X4                TEST-POINT3X4                      PAD.03X.04                  SparkFun-Connectors 1
TP6      TEST-POINT3X4                TEST-POINT3X4                      PAD.03X.04                  SparkFun-Connectors 1
TP7      TEST-POINT3X4                TEST-POINT3X4                      PAD.03X.04                  SparkFun-Connectors 1
TP8      TEST-POINT3X4                TEST-POINT3X4                      PAD.03X.04                  SparkFun-Connectors 1
TP9      TEST-POINT3X4                TEST-POINT3X4                      PAD.03X.04                  SparkFun-Connectors 1
TP10     TEST-POINT3X4                TEST-POINT3X4                      PAD.03X.04                  SparkFun-Connectors 1
TP11     TEST-POINT3X4                TEST-POINT3X4                      PAD.03X.04                  SparkFun-Connectors 1
TP12     TEST-POINT3X4                TEST-POINT3X4                      PAD.03X.04                  SparkFun-Connectors 1
